,artist,rank,title,week
2314,2 Kings In A Cipher,15,Definition Of A King,2--
2315,Kid 'N Play,16,Ain't Gonna Hurt Nobody,2--
2316,M.C. Breed & D.F.C.,17,Ain't No Future In Yo' Fronting,2--
2317,Latin Alliance,18,Low Rider (On The Boulevard),2--
2318,The 2 Live Crew,19,Pop That Coochie,2--
2319,The Jaz,20,A Groove (This Is What U Rap 2),2--
2320,Yomo & Maulkie,21,Glory,2--
2321,Public Enemy,22,Can't Truss It,2--
2322,Def Jef,23,Here We Go Again,2--
2323,Above The Law,24,4 The Funk of It,2--
2324,Queen Latifah,25,Fly Girl,2--
2325,Geto Boys,1,Mind Playing Tricks On Me,9--
2326,Tim Dog,2,F-ck Compton,9--
2327,Naughty By Nature,3,O.P.P.,9--
