,artist,rank,title,week
1927,De La Soul,3,Ring Ring Ring (Ha Ha Hey),9--
1928,Yo-Yo Featuring Ice Cube,4,You Can't Play With My Yo-Yo,9--
1929,Leaders Of The New School,5,Case Of The P.T.A.,9--
1930,Brand Nubian,6,Slow Down,9--
1931,3rd Bass,7,Pop Goes The Weasel,9--
1932,AMG,8,Bitch Betta Have My Money,9--
1933,Larry Larr,9,"Larry, That's What They Call Me",9--
1934,Ice-T,10,O.G. Original Gangster,9--
1935,EPMD Featuring L.L. Cool J,11,Rampage,9--
1936,Gang Starr,12,Lovesick,9--
1937,D.J. Jazzy Jeff & The Fresh Prince,13,Summertime,9--
1938,Chubb Rock,14,The Chubbster,9--
1939,MC Sway & DJ King Tech,15,Follow 4 Now,9--
1940,Gerardo,16,We Want The Funk,9--
1941,Definition Of Sound,17,Now Is Tomorrow,9--
1942,Craig-G,18,U-R-Not The 1,9--
1943,M.C. Breed & D.F.C.,19,Ain't No Future In Yo' Fronting,9--
1944,LL Cool J,20,Mama Said Knock You Out,9--
1945,DJ Quik,21,Born And Raised In Compton,9--
1946,Nikki D,22,Daddy's Little Girl,9--
1947,Grandaddy I.U.,23,Sugar Free,9--
1948,The Dogs Feat. Disco Rick,24,Do The Nasty Dance,9--
1949,K.M.D.,25,Who Me?,9--
1950,Terminator X,1,Homey Don't Play Dat,6--
1951,Kool Moe Dee Feat. KRS-One & Chuck D,2,Rise 'N' Shine,6--
1952,Brand Nubian,3,Slow Down,6--
1953,Leaders Of The New School,4,Case Of The P.T.A.,6--
1954,De La Soul,5,Ring Ring Ring (Ha Ha Hey),6--
1955,3rd Bass,6,Pop Goes The Weasel,6--
1956,Larry Larr,7,"Larry, That's What They Call Me",6--
1957,AMG,8,Bitch Betta Have My Money,6--
1958,D.J. Jazzy Jeff & The Fresh Prince,9,Summertime,6--
1959,Ice-T,10,O.G. Original Gangster,6--
1960,Chubb Rock,11,The Chubbster,6--
1961,Yo-Yo Featuring Ice Cube,12,You Can't Play With My Yo-Yo,6--
1962,Slick Rick,13,I Shouldn't Have Done It,6--
1963,Gang Starr,14,Lovesick,6--
1964,Grandaddy I.U.,15,Sugar Free,6--
1965,Main Source,16,Just Hangin' Out,6--
1966,Heavy D & The Boyz,17,Now That We Found Love,6--
1967,M.C. Breed & D.F.C.,18,Ain't No Future In Yo' Fronting,6--
1968,K.M.D.,19,Who Me?,6--
1969,The Dogs Feat. Disco Rick,20,Do The Nasty Dance,6--
1970,EPMD Featuring L.L. Cool J,21,Rampage,6--
1971,Rodney O & Joe Cooley,22,Get Ready To Roll,6--
1972,Son Of Bazerk,23,"Bang (Get Down, Get Down)",6--
1973,Gerardo,24,We Want The Funk,6--
1974,Craig-G,25,U-R-Not The 1,6--
1975,3rd Bass,1,Pop Goes The Weasel,3--
1976,D.J. Jazzy Jeff & The Fresh Prince,2,Summertime,3--
1977,Terminator X,3,Homey Don't Play Dat,3--
1978,Brand Nubian,4,Slow Down,3--
1979,AMG,5,Bitch Betta Have My Money,3--
1980,Chubb Rock,6,The Chubbster,3--
1981,Ice-T,7,O.G. Original Gangster,3--
1982,Larry Larr,8,"Larry, That's What They Call Me",3--
1983,Leaders Of The New School,9,Case Of The P.T.A.,3--
1984,Slick Rick,10,I Shouldn't Have Done It,3--
1985,Kool Moe Dee Feat. KRS-One & Chuck D,11,Rise 'N' Shine,3--
1986,De La Soul,12,Ring Ring Ring (Ha Ha Hey),3--
1987,Grandaddy I.U.,13,Sugar Free,3--
1988,Yo-Yo Featuring Ice Cube,14,You Can't Play With My Yo-Yo,3--
1989,Heavy D & The Boyz,15,Now That We Found Love,3--
1990,Main Source,16,Just Hangin' Out,3--
1991,M.C. Breed & D.F.C.,17,Ain't No Future In Yo' Fronting,3--
1992,DJ Quik,18,Tonite,3--
1993,Son Of Bazerk,19,"Bang (Get Down, Get Down)",3--
1994,K.M.D.,20,Who Me?,3--
1995,The Dogs Feat. Disco Rick,21,Do The Nasty Dance,3--
1996,Rodney O & Joe Cooley,22,Get Ready To Roll,3--
