,artist,rank,title,week
0,Jay-Z + Alicia Keys,1,Empire State Of Mind,2--
1,Birdman Featuring Lil Wayne & Drake,2,Money To Blow,2--
2,Young Money Featuring Lloyd,3,BedRock,2--
3,"Drake Featuring Kanye West, Lil Wayne & Eminem",4,Forever,2--
4,50 Cent Featuring Ne-Yo,5,Baby By Me,2--
5,Snoop Dogg Featuring The-Dream,6,Gangsta Luv,2--
6,Ludacris,7,How Low,2--
7,New Boyz Featuring Ray J,8,Tie Me Down,2--
8,Gucci Mane Featuring Usher,9,Spotlight,2--
9,Snoop Dogg,10,I Wanna Rock,2--
10,Gucci Mane Featuring Plies Or OJ Da Juiceman,11,Wasted,2--
11,"Jay-Z, Rihanna & Kanye West",12,Run This Town,2--
12,Fabolous Featuring The-Dream,13,Throw It In The Bag,2--
13,Drake,14,Best I Ever Had,2--
14,Chalie Boy,15,I Look Good,2--
15,Drake Featuring Lil Wayne & Young Jeezy,16,I'm Going In,2--
16,6 Tre G,17,Fresh,2--
17,Waka Flocka Flame,18,O Let's Do It,2--
18,Young Money Featuring Gucci Mane,19,Steady Mobbin',2--
19,Nicki Minaj Featuring Lil Wayne,20,I Get Crazy,2--
20,Pitbull Featuring Akon,21,Shut It Down,2--
21,Roscoe Dash Featuring Soulja Boy Tell'em,22,All The Way Turnt Up,2--
22,Fabolous Featuring Keri Hilson,23,"Everything, Everyday, Everywhere",2--
23,"DJ Khaled Featuring Usher, Drake, Young Jeezy & Rick Ross",24,Fed Up,2--
24,Timbaland Featuring Drake,25,Say Something,2--
25,Jay-Z + Alicia Keys,1,Empire State Of Mind,9--
26,Young Money Featuring Lloyd,2,BedRock,9--
27,Birdman Featuring Lil Wayne & Drake,3,Money To Blow,9--
28,"Drake Featuring Kanye West, Lil Wayne & Eminem",4,Forever,9--
29,Ludacris,5,How Low,9--
30,50 Cent Featuring Ne-Yo,6,Baby By Me,9--
31,Snoop Dogg Featuring The-Dream,7,Gangsta Luv,9--
32,New Boyz Featuring Ray J,8,Tie Me Down,9--
33,Gucci Mane Featuring Usher,9,Spotlight,9--
34,Snoop Dogg,10,I Wanna Rock,9--
35,Gucci Mane Featuring Plies Or OJ Da Juiceman,11,Wasted,9--
36,"Jay-Z, Rihanna & Kanye West",12,Run This Town,9--
