,artist,rank,title,week
37,Fabolous Featuring The-Dream,13,Throw It In The Bag,9--
38,Drake,14,Best I Ever Had,9--
39,Drake Featuring Lil Wayne & Young Jeezy,15,I'm Going In,9--
40,Waka Flocka Flame,16,O Let's Do It,9--
41,Chalie Boy,17,I Look Good,9--
42,Young Money Featuring Gucci Mane,18,Steady Mobbin',9--
43,6 Tre G,19,Fresh,9--
44,Nicki Minaj Featuring Lil Wayne,20,I Get Crazy,9--
45,Timbaland Featuring Drake,21,Say Something,9--
46,Pitbull Featuring Akon,22,Shut It Down,9--
47,Roscoe Dash Featuring Soulja Boy Tell'em,23,All The Way Turnt Up,9--
48,Plies Featuring Keri Hilson,24,Medicine,9--
49,"DJ Khaled Featuring Usher, Drake, Young Jeezy & Rick Ross",25,Fed Up,9--
50,Jay-Z + Alicia Keys,1,Empire State Of Mind,6--
51,Young Money Featuring Lloyd,2,BedRock,6--
52,Birdman Featuring Lil Wayne & Drake,3,Money To Blow,6--
53,Ludacris,4,How Low,6--
54,"Drake Featuring Kanye West, Lil Wayne & Eminem",5,Forever,6--
55,Snoop Dogg Featuring The-Dream,6,Gangsta Luv,6--
56,50 Cent Featuring Ne-Yo,7,Baby By Me,6--
57,New Boyz Featuring Ray J,8,Tie Me Down,6--
58,Gucci Mane Featuring Usher,9,Spotlight,6--
59,Snoop Dogg,10,I Wanna Rock,6--
60,"Jay-Z, Rihanna & Kanye West",11,Run This Town,6--
61,Gucci Mane Featuring Plies Or OJ Da Juiceman,12,Wasted,6--
62,Fabolous Featuring The-Dream,13,Throw It In The Bag,6--
63,Drake,14,Best I Ever Had,6--
64,Waka Flocka Flame,15,O Let's Do It,6--
65,Young Money Featuring Gucci Mane,16,Steady Mobbin',6--
66,Chalie Boy,17,I Look Good,6--
67,Timbaland Featuring Drake,18,Say Something,6--
68,Pitbull Featuring Akon,19,Shut It Down,6--
69,6 Tre G,20,Fresh,6--
70,Nicki Minaj Featuring Lil Wayne,21,I Get Crazy,6--
71,"DJ Khaled Featuring Usher, Drake, Young Jeezy & Rick Ross",22,Fed Up,6--
72,Roscoe Dash Featuring Soulja Boy Tell'em,23,All The Way Turnt Up,6--
73,Jay-Z + Swizz Beatz,24,On To The Next One,6--
74,Plies Featuring Keri Hilson,25,Medicine,6--
75,Young Money Featuring Lloyd,1,BedRock,3--
76,Jay-Z + Alicia Keys,2,Empire State Of Mind,3--
77,Birdman Featuring Lil Wayne & Drake,3,Money To Blow,3--
78,Ludacris,4,How Low,3--
79,"Drake Featuring Kanye West, Lil Wayne & Eminem",5,Forever,3--
80,Snoop Dogg Featuring The-Dream,6,Gangsta Luv,3--
81,New Boyz Featuring Ray J,7,Tie Me Down,3--
82,50 Cent Featuring Ne-Yo,8,Baby By Me,3--
83,Snoop Dogg,9,I Wanna Rock,3--
84,Gucci Mane Featuring Usher,10,Spotlight,3--
85,Gucci Mane Featuring Plies Or OJ Da Juiceman,11,Wasted,3--
86,"Jay-Z, Rihanna & Kanye West",12,Run This Town,3--
87,Timbaland Featuring Drake,13,Say Something,3--
88,Waka Flocka Flame,14,O Let's Do It,3--
89,Fabolous Featuring The-Dream,15,Throw It In The Bag,3--
90,Young Money Featuring Gucci Mane,16,Steady Mobbin',3--
91,Drake,17,Best I Ever Had,3--
92,Pitbull Featuring Akon,18,Shut It Down,3--
93,Jay-Z + Swizz Beatz,19,On To The Next One,3--
94,Chalie Boy,20,I Look Good,3--
95,Nicki Minaj Featuring Lil Wayne,21,I Get Crazy,3--
96,Plies Featuring Keri Hilson,22,Medicine,3--
97,Roscoe Dash Featuring Soulja Boy Tell'em,23,All The Way Turnt Up,3--
98,"DJ Khaled Featuring Usher, Drake, Young Jeezy & Rick Ross",24,Fed Up,3--
99,The Party Boyz,25,Flex,3--
100,Young Money Featuring Lloyd,1,BedRock,0--
101,Ludacris,2,How Low,0--
102,Jay-Z + Alicia Keys,3,Empire State Of Mind,0--
103,Birdman Featuring Lil Wayne & Drake,4,Money To Blow,0--
104,Snoop Dogg,5,I Wanna Rock,0--
105,Snoop Dogg Featuring The-Dream,6,Gangsta Luv,0--
106,New Boyz Featuring Ray J,7,Tie Me Down,0--
107,"Drake Featuring Kanye West, Lil Wayne & Eminem",8,Forever,0--
108,50 Cent Featuring Ne-Yo,9,Baby By Me,0--
109,Timbaland Featuring Drake,10,Say Something,0--
110,Gucci Mane Featuring Usher,11,Spotlight,0--
111,Jay-Z + Swizz Beatz,12,On To The Next One,0--
112,Gucci Mane Featuring Plies Or OJ Da Juiceman,13,Wasted,0--
113,"Jay-Z, Rihanna & Kanye West",14,Run This Town,0--
114,Waka Flocka Flame,15,O Let's Do It,0--
115,Young Money Featuring Gucci Mane,16,Steady Mobbin',0--
116,Pitbull Featuring Akon,17,Shut It Down,0--
117,Fabolous Featuring The-Dream,18,Throw It In The Bag,0--
118,Drake,19,Best I Ever Had,0--
119,Roscoe Dash Featuring Soulja Boy Tell'em,20,All The Way Turnt Up,0--
120,Plies Featuring Keri Hilson,21,Medicine,0--
121,"DJ Khaled Featuring Usher, Drake, Young Jeezy & Rick Ross",22,Fed Up,0--
122,Yo Gotti Featuring Lil Wayne,23,"Women Lie, Men Lie",0--
123,The Party Boyz,24,Flex,0--
124,Lil Wayne,25,On Fire,0--
125,Young Money Featuring Lloyd,1,BedRock,6--
126,Ludacris,2,How Low,6--
127,Jay-Z + Alicia Keys,3,Empire State Of Mind,6--
128,Birdman Featuring Lil Wayne & Drake,4,Money To Blow,6--
129,Snoop Dogg,5,I Wanna Rock,6--
130,New Boyz Featuring Ray J,6,Tie Me Down,6--
131,Timbaland Featuring Drake,7,Say Something,6--
132,"Drake Featuring Kanye West, Lil Wayne & Eminem",8,Forever,6--
133,Snoop Dogg Featuring The-Dream,9,Gangsta Luv,6--
134,Jay-Z + Swizz Beatz,10,On To The Next One,6--
135,50 Cent Featuring Ne-Yo,11,Baby By Me,6--
136,Gucci Mane Featuring Usher,12,Spotlight,6--
137,Waka Flocka Flame,13,O Let's Do It,6--
138,Gucci Mane Featuring Plies Or OJ Da Juiceman,14,Wasted,6--
139,"Jay-Z, Rihanna & Kanye West",15,Run This Town,6--
140,Young Money Featuring Gucci Mane,16,Steady Mobbin',6--
141,Roscoe Dash Featuring Soulja Boy Tell'em,17,All The Way Turnt Up,6--
142,Pitbull Featuring Akon,18,Shut It Down,6--
143,Drake,19,Best I Ever Had,6--
144,Gucci Mane,20,Lemonade,6--
145,50 Cent,21,Do You Think About Me,6--
146,Yo Gotti Featuring Lil Wayne,22,"Women Lie, Men Lie",6--
147,Plies Featuring Keri Hilson,23,Medicine,6--
148,"DJ Khaled Featuring Usher, Drake, Young Jeezy & Rick Ross",24,Fed Up,6--
149,B.o.B Featuring Bruno Mars,25,Nothin' On You,6--
150,Young Money Featuring Lloyd,1,BedRock,3--
151,Ludacris,2,How Low,3--
152,Snoop Dogg,3,I Wanna Rock,3--
153,Timbaland Featuring Drake,4,Say Something,3--
154,Birdman Featuring Lil Wayne & Drake,5,Money To Blow,3--
155,Jay-Z + Alicia Keys,6,Empire State Of Mind,3--
156,New Boyz Featuring Ray J,7,Tie Me Down,3--
157,Snoop Dogg Featuring The-Dream,8,Gangsta Luv,3--
158,"Drake Featuring Kanye West, Lil Wayne & Eminem",9,Forever,3--
159,Jay-Z + Swizz Beatz,10,On To The Next One,3--
160,Waka Flocka Flame,11,O Let's Do It,3--
161,Young Money Featuring Gucci Mane,12,Steady Mobbin',3--
162,Gucci Mane Featuring Usher,13,Spotlight,3--
163,Gucci Mane,14,Lemonade,3--
164,Roscoe Dash Featuring Soulja Boy Tell'em,15,All The Way Turnt Up,3--
165,50 Cent Featuring Ne-Yo,16,Baby By Me,3--
166,"Jay-Z, Rihanna & Kanye West",17,Run This Town,3--
167,50 Cent,18,Do You Think About Me,3--
168,Pitbull Featuring Akon,19,Shut It Down,3--
169,B.o.B Featuring Bruno Mars,20,Nothin' On You,3--
170,Yo Gotti Featuring Lil Wayne,21,"Women Lie, Men Lie",3--
171,Plies Featuring Keri Hilson,22,Medicine,3--
172,"DJ Khaled Featuring Usher, Drake, Young Jeezy & Rick Ross",23,Fed Up,3--
173,Nicki Minaj Featuring Lil Wayne,24,I Get Crazy,3--
174,The Party Boyz,25,Flex,3--
175,Young Money Featuring Lloyd,1,BedRock,0--
176,Ludacris,2,How Low,0--
177,Timbaland Featuring Drake,3,Say Something,0--
178,Snoop Dogg,4,I Wanna Rock,0--
179,New Boyz Featuring Ray J,5,Tie Me Down,0--
180,Birdman Featuring Lil Wayne & Drake,6,Money To Blow,0--
181,Jay-Z + Alicia Keys,7,Empire State Of Mind,0--
182,Jay-Z + Swizz Beatz,8,On To The Next One,0--
183,"Drake Featuring Kanye West, Lil Wayne & Eminem",9,Forever,0--
184,Snoop Dogg Featuring The-Dream,10,Gangsta Luv,0--
185,Waka Flocka Flame,11,O Let's Do It,0--
186,Gucci Mane,12,Lemonade,0--
187,B.o.B Featuring Bruno Mars,13,Nothin' On You,0--
188,Roscoe Dash Featuring Soulja Boy Tell'em,14,All The Way Turnt Up,0--
189,Young Money Featuring Gucci Mane,15,Steady Mobbin',0--
190,50 Cent,16,Do You Think About Me,0--
191,Yo Gotti Featuring Lil Wayne,17,"Women Lie, Men Lie",0--
192,"Jay-Z, Rihanna & Kanye West",18,Run This Town,0--
193,Gucci Mane Featuring Usher,19,Spotlight,0--
194,Pitbull Featuring Akon,20,Shut It Down,0--
195,The Party Boyz,21,Flex,0--
196,Plies Featuring Keri Hilson,22,Medicine,0--
197,Juelz Santana Featuring Chris Brown,23,Back To The Crib,0--
198,Bone,24,Homegurl (He Gotta),0--
199,"DJ Khaled Featuring Usher, Drake, Young Jeezy & Rick Ross",25,Fed Up,0--
200,Young Money Featuring Lloyd,1,BedRock,7--
201,Ludacris,2,How Low,7--
202,Timbaland Featuring Drake,3,Say Something,7--
203,Snoop Dogg,4,I Wanna Rock,7--
204,New Boyz Featuring Ray J,5,Tie Me Down,7--
205,Birdman Featuring Lil Wayne & Drake,6,Money To Blow,7--
206,Jay-Z + Swizz Beatz,7,On To The Next One,7--
207,Jay-Z + Alicia Keys,8,Empire State Of Mind,7--
208,B.o.B Featuring Bruno Mars,9,Nothin' On You,7--
209,Waka Flocka Flame,10,O Let's Do It,7--
210,"Drake Featuring Kanye West, Lil Wayne & Eminem",11,Forever,7--
211,Young Money Featuring Gucci Mane,12,Steady Mobbin',7--
212,Gucci Mane,13,Lemonade,7--
213,Snoop Dogg Featuring The-Dream,14,Gangsta Luv,7--
214,Roscoe Dash Featuring Soulja Boy Tell'em,15,All The Way Turnt Up,7--
215,50 Cent,16,Do You Think About Me,7--
216,Yo Gotti Featuring Lil Wayne,17,"Women Lie, Men Lie",7--
217,"Jay-Z, Rihanna & Kanye West",18,Run This Town,7--
218,Gucci Mane Featuring Usher,19,Spotlight,7--
219,Pitbull Featuring Akon,20,Shut It Down,7--
220,The Party Boyz,21,Flex,7--
221,Bone,22,Homegurl (He Gotta),7--
222,Fat Joe Featuring Jeezy,23,(HaHa) Slow Down,7--
223,Trina Featuring Diddy & Keri Hilson,24,Million Dollar Girl,7--
224,Birdman Featuring Drake & Lil Wayne,25,4 My Town (Play Ball),7--
225,Young Money Featuring Lloyd,1,BedRock,6--
226,Ludacris,2,How Low,6--
227,Timbaland Featuring Drake,3,Say Something,6--
228,Snoop Dogg,4,I Wanna Rock,6--
229,New Boyz Featuring Ray J,5,Tie Me Down,6--
230,Jay-Z + Swizz Beatz,6,On To The Next One,6--
231,B.o.B Featuring Bruno Mars,7,Nothin' On You,6--
232,Birdman Featuring Lil Wayne & Drake,8,Money To Blow,6--
233,Jay-Z + Alicia Keys,9,Empire State Of Mind,6--
234,"Drake Featuring Kanye West, Lil Wayne & Eminem",10,Forever,6--
235,Roscoe Dash Featuring Soulja Boy Tell'em,11,All The Way Turnt Up,6--
236,Waka Flocka Flame,12,O Let's Do It,6--
237,Young Money Featuring Gucci Mane,13,Steady Mobbin',6--
238,Gucci Mane,14,Lemonade,6--
239,50 Cent,15,Do You Think About Me,6--
240,Snoop Dogg Featuring The-Dream,16,Gangsta Luv,6--
241,Yo Gotti Featuring Lil Wayne,17,"Women Lie, Men Lie",6--
242,"Jay-Z, Rihanna & Kanye West",18,Run This Town,6--
243,The Party Boyz,19,Flex,6--
244,Gucci Mane Featuring Usher,20,Spotlight,6--
245,Pitbull Featuring Akon,21,Shut It Down,6--
246,Ludacris Featuring Nicki Minaj,22,My Chick Bad,6--
247,Trina Featuring Diddy & Keri Hilson,23,Million Dollar Girl,6--
248,Bone,24,Homegurl (He Gotta),6--
249,Fat Joe Featuring Jeezy,25,(HaHa) Slow Down,6--
250,Young Money Featuring Lloyd,1,BedRock,3--
251,Ludacris,2,How Low,3--
252,Timbaland Featuring Drake,3,Say Something,3--
253,B.o.B Featuring Bruno Mars,4,Nothin' On You,3--
254,New Boyz Featuring Ray J,5,Tie Me Down,3--
255,Jay-Z + Swizz Beatz,6,On To The Next One,3--
256,Snoop Dogg,7,I Wanna Rock,3--
257,Birdman Featuring Lil Wayne & Drake,8,Money To Blow,3--
258,Young Money Featuring Gucci Mane,9,Steady Mobbin',3--
259,Waka Flocka Flame,10,O Let's Do It,3--
260,"Drake Featuring Kanye West, Lil Wayne & Eminem",11,Forever,3--
261,Roscoe Dash Featuring Soulja Boy Tell'em,12,All The Way Turnt Up,3--
262,Gucci Mane,13,Lemonade,3--
263,Jay-Z + Alicia Keys,14,Empire State Of Mind,3--
264,50 Cent,15,Do You Think About Me,3--
265,Yo Gotti Featuring Lil Wayne,16,"Women Lie, Men Lie",3--
266,Snoop Dogg Featuring The-Dream,17,Gangsta Luv,3--
267,Ludacris Featuring Nicki Minaj,18,My Chick Bad,3--
268,The Party Boyz,19,Flex,3--
269,Trina Featuring Diddy & Keri Hilson,20,Million Dollar Girl,3--
270,Jay-Z + Mr. Hudson,21,Young Forever,3--
271,Birdman Featuring Drake & Lil Wayne,22,4 My Town (Play Ball),3--
272,Lloyd Banks Featuring Juelz Santana,23,"Beamer, Benz, Or Bentley",3--
273,Pitbull Featuring Akon,24,Shut It Down,3--
274,Gucci Mane Featuring Usher,25,Spotlight,3--
275,Young Money Featuring Lloyd,1,BedRock,0--
276,Timbaland Featuring Drake,2,Say Something,0--
277,Ludacris,3,How Low,0--
278,B.o.B Featuring Bruno Mars,4,Nothin' On You,0--
279,Jay-Z + Swizz Beatz,5,On To The Next One,0--
280,New Boyz Featuring Ray J,6,Tie Me Down,0--
281,Young Money Featuring Gucci Mane,7,Steady Mobbin',0--
282,Gucci Mane,8,Lemonade,0--
283,Waka Flocka Flame,9,O Let's Do It,0--
284,Roscoe Dash Featuring Soulja Boy Tell'em,10,All The Way Turnt Up,0--
285,Snoop Dogg,11,I Wanna Rock,0--
286,"Drake Featuring Kanye West, Lil Wayne & Eminem",12,Forever,0--
287,Birdman Featuring Lil Wayne & Drake,13,Money To Blow,0--
288,Ludacris Featuring Nicki Minaj,14,My Chick Bad,0--
289,Jay-Z + Alicia Keys,15,Empire State Of Mind,0--
290,Yo Gotti Featuring Lil Wayne,16,"Women Lie, Men Lie",0--
291,50 Cent,17,Do You Think About Me,0--
292,Snoop Dogg Featuring The-Dream,18,Gangsta Luv,0--
293,Lloyd Banks Featuring Juelz Santana,19,"Beamer, Benz, Or Bentley",0--
294,Birdman Featuring Drake & Lil Wayne,20,4 My Town (Play Ball),0--
295,Drake,21,Over,0--
296,Jay-Z + Mr. Hudson,22,Young Forever,0--
297,The Party Boyz,23,Flex,0--
298,Trina Featuring Diddy & Keri Hilson,24,Million Dollar Girl,0--
299,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",25,All I Do Is Win,0--
300,Timbaland Featuring Drake,1,Say Something,7--
301,Young Money Featuring Lloyd,2,BedRock,7--
302,Ludacris,3,How Low,7--
303,B.o.B Featuring Bruno Mars,4,Nothin' On You,7--
304,Jay-Z + Swizz Beatz,5,On To The Next One,7--
305,Young Money Featuring Gucci Mane,6,Steady Mobbin',7--
306,Waka Flocka Flame,7,O Let's Do It,7--
307,New Boyz Featuring Ray J,8,Tie Me Down,7--
308,Gucci Mane,9,Lemonade,7--
309,Ludacris Featuring Nicki Minaj,10,My Chick Bad,7--
310,"Drake Featuring Kanye West, Lil Wayne & Eminem",11,Forever,7--
311,Roscoe Dash Featuring Soulja Boy Tell'em,12,All The Way Turnt Up,7--
312,Drake,13,Over,7--
313,Yo Gotti Featuring Lil Wayne,14,"Women Lie, Men Lie",7--
314,Birdman Featuring Lil Wayne & Drake,15,Money To Blow,7--
315,Snoop Dogg,16,I Wanna Rock,7--
316,50 Cent,17,Do You Think About Me,7--
317,Jay-Z + Alicia Keys,18,Empire State Of Mind,7--
318,Lloyd Banks Featuring Juelz Santana,19,"Beamer, Benz, Or Bentley",7--
319,T.I.,20,I'm Back,7--
320,Jay-Z + Mr. Hudson,21,Young Forever,7--
321,Birdman Featuring Drake & Lil Wayne,22,4 My Town (Play Ball),7--
322,Trina Featuring Diddy & Keri Hilson,23,Million Dollar Girl,7--
323,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",24,All I Do Is Win,7--
324,The Party Boyz,25,Flex,7--
325,Timbaland Featuring Drake,1,Say Something,3--
326,Young Money Featuring Lloyd,2,BedRock,3--
327,B.o.B Featuring Bruno Mars,3,Nothin' On You,3--
328,Ludacris,4,How Low,3--
329,Ludacris Featuring Nicki Minaj,5,My Chick Bad,3--
330,Young Money Featuring Gucci Mane,6,Steady Mobbin',3--
331,Jay-Z + Swizz Beatz,7,On To The Next One,3--
332,Drake,8,Over,3--
333,Gucci Mane,9,Lemonade,3--
334,Waka Flocka Flame,10,O Let's Do It,3--
335,New Boyz Featuring Ray J,11,Tie Me Down,3--
336,Roscoe Dash Featuring Soulja Boy Tell'em,12,All The Way Turnt Up,3--
337,Yo Gotti Featuring Lil Wayne,13,"Women Lie, Men Lie",3--
338,"Drake Featuring Kanye West, Lil Wayne & Eminem",14,Forever,3--
339,Birdman Featuring Lil Wayne & Drake,15,Money To Blow,3--
340,Snoop Dogg,16,I Wanna Rock,3--
341,Jay-Z + Alicia Keys,17,Empire State Of Mind,3--
342,Lloyd Banks Featuring Juelz Santana,18,"Beamer, Benz, Or Bentley",3--
343,Birdman Featuring Drake & Lil Wayne,19,4 My Town (Play Ball),3--
344,T.I.,20,I'm Back,3--
345,50 Cent,21,Do You Think About Me,3--
346,Jay-Z + Mr. Hudson,22,Young Forever,3--
347,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",23,All I Do Is Win,3--
348,The Party Boyz,24,Flex,3--
349,Trina Featuring Diddy & Keri Hilson,25,Million Dollar Girl,3--
350,Timbaland Featuring Drake,1,Say Something,0--
351,B.o.B Featuring Bruno Mars,2,Nothin' On You,0--
352,Young Money Featuring Lloyd,3,BedRock,0--
353,Ludacris,4,How Low,0--
354,Ludacris Featuring Nicki Minaj,5,My Chick Bad,0--
355,Drake,6,Over,0--
356,Young Money Featuring Gucci Mane,7,Steady Mobbin',0--
357,Gucci Mane,8,Lemonade,0--
358,Waka Flocka Flame,9,O Let's Do It,0--
359,Jay-Z + Swizz Beatz,10,On To The Next One,0--
360,New Boyz Featuring Ray J,11,Tie Me Down,0--
361,Yo Gotti Featuring Lil Wayne,12,"Women Lie, Men Lie",0--
362,Roscoe Dash Featuring Soulja Boy Tell'em,13,All The Way Turnt Up,0--
363,Lloyd Banks Featuring Juelz Santana,14,"Beamer, Benz, Or Bentley",0--
364,"Drake Featuring Kanye West, Lil Wayne & Eminem",15,Forever,0--
365,Jay-Z + Alicia Keys,16,Empire State Of Mind,0--
366,T.I.,17,I'm Back,0--
367,Jay-Z + Mr. Hudson,18,Young Forever,0--
368,Birdman Featuring Lil Wayne & Drake,19,Money To Blow,0--
369,Birdman Featuring Drake & Lil Wayne,20,4 My Town (Play Ball),0--
370,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",21,All I Do Is Win,0--
371,Snoop Dogg,22,I Wanna Rock,0--
372,50 Cent,23,Do You Think About Me,0--
373,The Party Boyz,24,Flex,0--
374,Young Jeezy Featuring Plies,25,Lose My Mind,0--
375,Timbaland Featuring Drake,1,Say Something,7--
376,B.o.B Featuring Bruno Mars,2,Nothin' On You,7--
377,Young Money Featuring Lloyd,3,BedRock,7--
378,Ludacris Featuring Nicki Minaj,4,My Chick Bad,7--
379,Ludacris,5,How Low,7--
380,Drake,6,Over,7--
381,Young Money Featuring Gucci Mane,7,Steady Mobbin',7--
382,Gucci Mane,8,Lemonade,7--
383,Waka Flocka Flame,9,O Let's Do It,7--
384,New Boyz Featuring Ray J,10,Tie Me Down,7--
385,Jay-Z + Swizz Beatz,11,On To The Next One,7--
386,Roscoe Dash Featuring Soulja Boy Tell'em,12,All The Way Turnt Up,7--
387,Lloyd Banks Featuring Juelz Santana,13,"Beamer, Benz, Or Bentley",7--
388,Yo Gotti Featuring Lil Wayne,14,"Women Lie, Men Lie",7--
389,T.I.,15,I'm Back,7--
390,Jay-Z + Mr. Hudson,16,Young Forever,7--
391,Birdman Featuring Drake & Lil Wayne,17,4 My Town (Play Ball),7--
392,Jay-Z + Alicia Keys,18,Empire State Of Mind,7--
393,"Drake Featuring Kanye West, Lil Wayne & Eminem",19,Forever,7--
394,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",20,All I Do Is Win,7--
395,Young Jeezy Featuring Plies,21,Lose My Mind,7--
396,Young Money,22,Roger That,7--
397,Snoop Dogg,23,I Wanna Rock,7--
398,The Party Boyz,24,Flex,7--
399,Cypress Hill Featuring Pittbull & Marc Anthony,25,Armada Latina,7--
400,B.o.B Featuring Bruno Mars,1,Nothin' On You,4--
401,Timbaland Featuring Drake,2,Say Something,4--
402,Ludacris Featuring Nicki Minaj,3,My Chick Bad,4--
403,Drake,4,Over,4--
404,Young Money Featuring Lloyd,5,BedRock,4--
405,Ludacris,6,How Low,4--
406,Young Money Featuring Gucci Mane,7,Steady Mobbin',4--
407,Gucci Mane,8,Lemonade,4--
408,Waka Flocka Flame,9,O Let's Do It,4--
409,New Boyz Featuring Ray J,10,Tie Me Down,4--
410,Lloyd Banks Featuring Juelz Santana,11,"Beamer, Benz, Or Bentley",4--
411,T.I.,12,I'm Back,4--
412,Jay-Z + Swizz Beatz,13,On To The Next One,4--
413,Yo Gotti Featuring Lil Wayne,14,"Women Lie, Men Lie",4--
414,Roscoe Dash Featuring Soulja Boy Tell'em,15,All The Way Turnt Up,4--
415,Jay-Z + Mr. Hudson,16,Young Forever,4--
416,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",17,All I Do Is Win,4--
417,Young Money,18,Roger That,4--
418,Birdman Featuring Drake & Lil Wayne,19,4 My Town (Play Ball),4--
419,Jay-Z + Alicia Keys,20,Empire State Of Mind,4--
420,Young Jeezy Featuring Plies,21,Lose My Mind,4--
421,Travis Porter,22,Go Shorty Go,4--
422,Snoop Dogg,23,I Wanna Rock,4--
423,The Party Boyz,24,Flex,4--
424,Plies,25,She Got It Made,4--
425,B.o.B Featuring Bruno Mars,1,Nothin' On You,1--
426,Ludacris Featuring Nicki Minaj,2,My Chick Bad,1--
427,Timbaland Featuring Drake,3,Say Something,1--
428,Drake,4,Over,1--
429,Young Money Featuring Lloyd,5,BedRock,1--
430,Ludacris,6,How Low,1--
431,Young Money Featuring Gucci Mane,7,Steady Mobbin',1--
432,Gucci Mane,8,Lemonade,1--
433,Lloyd Banks Featuring Juelz Santana,9,"Beamer, Benz, Or Bentley",1--
434,New Boyz Featuring Ray J,10,Tie Me Down,1--
435,T.I.,11,I'm Back,1--
436,Waka Flocka Flame,12,O Let's Do It,1--
437,Young Money,13,Roger That,1--
438,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",14,All I Do Is Win,1--
439,Jay-Z + Swizz Beatz,15,On To The Next One,1--
440,Jay-Z + Mr. Hudson,16,Young Forever,1--
441,Yo Gotti Featuring Lil Wayne,17,"Women Lie, Men Lie",1--
442,Young Jeezy Featuring Plies,18,Lose My Mind,1--
443,Birdman Featuring Drake & Lil Wayne,19,4 My Town (Play Ball),1--
444,Jay-Z + Alicia Keys,20,Empire State Of Mind,1--
445,Plies,21,She Got It Made,1--
446,Diddy - Dirty Money Featuring T.I.,22,Hello Good Morning,1--
447,8Ball & MJG Featuring Young Dro,23,Bring It Back,1--
448,Rick Ross Featuring Ne-Yo,24,Super High,1--
449,Fat Joe Featuring Jeezy,25,(HaHa) Slow Down,1--
450,B.o.B Featuring Bruno Mars,1,Nothin' On You,8--
451,Ludacris Featuring Nicki Minaj,2,My Chick Bad,8--
452,Drake,3,Over,8--
453,Timbaland Featuring Drake,4,Say Something,8--
454,Young Money Featuring Lloyd,5,BedRock,8--
455,Ludacris,6,How Low,8--
456,Lloyd Banks Featuring Juelz Santana,7,"Beamer, Benz, Or Bentley",8--
457,Young Money Featuring Gucci Mane,8,Steady Mobbin',8--
458,T.I.,9,I'm Back,8--
459,Young Money,10,Roger That,8--
460,Waka Flocka Flame,11,O Let's Do It,8--
461,New Boyz Featuring Ray J,12,Tie Me Down,8--
462,Gucci Mane,13,Lemonade,8--
463,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",14,All I Do Is Win,8--
464,Young Jeezy Featuring Plies,15,Lose My Mind,8--
