,artist,rank,title
3653,Redman,4,Blow Your Mind
3654,Chubb Rock,5,Lost In The Storm
3655,Gang Starr,6,Ex Girl To The Next Girl
3656,Zhigge,7,Toss It Up
3657,Arrested Development,8,People Everyday
3658,Das EFX,9,Mic Checka
3659,Wreckx-N-Effect,10,Rump Shaker
3660,Willie D,11,Clean Up Man
3661,Diamond & Psychotic Neurotics,12,Best Kept Secret
3662,M.C. Breed,13,Ain't Too Much Worried
3663,Cypress Hill,14,Latin Lingo
3664,Prince Markie Dee And The Soul Convention,15,Trippin' Out
3665,Kris Kross,16,I Missed The Bus
3666,Lords Of The Underground,17,Psycho/Check It
3667,MC Ren,18,The Final Frontier
3668,Snow,19,Lonely Monday Morning
3669,Public Enemy,20,Hazy Shade Of Criminal
3670,Pete Rock & C.L. Smooth,21,Straighten It Out
3671,Compton's Most Wanted,22,Hood Took Me Under
3672,Yo-Yo,23,Black Pearl
3673,EPMD,24,Crossover
3674,Double XX,25,Not Gonna Be Able To Do It
3675,Bushwick Bill,1,Ever So Clear
