,artist,rank,title
3187,BDP,13,13 And Good
3188,Cypress Hill,14,Hand On The Pump
3189,2nd II None,15,If You Want It
3190,Heavy D & The Boyz,16,Don't Curse/You Can't See What I See
3191,Sylk Smoov,17,Trick Wit A Good Rap
3192,Brotherhood Creed,18,Helluva
3193,Doug E. Fresh,19,Bustin' Out (On Funk)
3194,The Future Sound,20,Lady/What's A Bro To Do?
3195,Public Enemy,21,Nighttrain
3196,Penthouse Players Clique,22,Explanation Of A Playa
3197,M.C. Brains,23,Everybody's Talking About M.C. Brains
3198,Black Sheep,24,Strobelite Honey
3199,Kid Frost,25,No Sunshine
3200,Nice & Smooth,1,Sometimes I Rhyme Slow
3201,Das EFX,2,They Want EFX
3202,Pete Rock & C.L. Smooth,3,They Reminisce Over You (T.R.O.Y.)
3203,Gang Starr,4,Take It Personal
3204,Dr. Dre Introducing Snoop Doggy Dogg,5,Deep Cover
3205,Arrested Development,6,Tennessee
3206,Fu-Schnickens,7,La Schmoove
3207,Keith Sweat Feat. L.L. Cool J,8,Why Me Baby? (Pt. 2)
3208,Kris Kross,9,Jump
3209,A Tribe Called Quest,10,Scenario
3210,Sir Mix-A-Lot,11,Baby Got Back
3211,The College Boyz,12,Victim Of The Ghetto
3212,Heavy D & The Boyz,13,Don't Curse/You Can't See What I See
3213,Sylk Smoov,14,Trick Wit A Good Rap
3214,Doug E. Fresh,15,Bustin' Out (On Funk)
3215,Penthouse Players Clique,16,Explanation Of A Playa
3216,Cypress Hill,17,Hand On The Pump
3217,Black Sheep,18,Strobelite Honey
3218,Brotherhood Creed,19,Helluva
3219,Kid Frost,20,No Sunshine
3220,Organized Konfusion,21,Walk Into The Sun
3221,2nd II None,22,If You Want It
3222,M.C. Brains,23,Everybody's Talking About M.C. Brains
3223,BDP,24,13 And Good
3224,Tim Dog,25,Bronx Nigga
3225,Pete Rock & C.L. Smooth,1,They Reminisce Over You (T.R.O.Y.)
3226,Nice & Smooth,2,Sometimes I Rhyme Slow
3227,Gang Starr,3,Take It Personal
3228,Dr. Dre Introducing Snoop Doggy Dogg,4,Deep Cover
3229,Fu-Schnickens,5,La Schmoove
3230,Das EFX,6,They Want EFX
